drug_name,gene_symbol,action
(+)-2-(4-biphenyl)propionic acid,PTGS1,inhibitor
(+)-Rutamarin alcohol,GAPDHS,unknown
(1R)-menthyl hexyl phosphonate group,BCHE,inhibitor
"(1R,2S)-2-Phenylcyclopropanaminium",PRSS1,unknown
(1S)-menthyl hexyl phosphonate group,BCHE,inhibitor
(2R)-2-benzyl-3-nitropropanoic acid,CPA1,unknown
(2S)-2-(1H-indol-3-yl)hexanoic acid,SKP1,unknown
(2S)-2-(1H-indol-3-yl)pentanoic acid,SKP1,unknown
(2s)-Pyrrolidin-2-Ylmethylamine,DPP4,inhibitor
(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid,PTGS1,inhibitor
(3r)-1-Acetyl-3-Methylpiperidine,PPIA,inhibitor
(4-fluorophenyl)(pyridin-4-yl)methanone,LTA4H,inhibitor
"(4R)-limonene 1α,2α-epoxide",LCN9,unknown
"(4R,5R)-1,2-dithiane-4,5-diol",NFKB1,inhibitor
"(4R,5R)-1,2-dithiane-4,5-diol",NFKB2,inhibitor
"(4R,5R)-1,2-dithiane-4,5-diol",REL,inhibitor
"(4R,5R)-1,2-dithiane-4,5-diol",RELA,inhibitor
"(4R,5R)-1,2-dithiane-4,5-diol",RELB,inhibitor
(4e)-4-Aminohex-4-Enoic Acid,ABAT,inhibitor
(4s)-5-Fluoro-L-Leucine,UBB,unknown
(6R)-Folinic acid,FTCD,unknown
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,CLPS,unknown
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,PNLIP,inhibitor
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,RHO,unknown
(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol,LGALS9,unknown
(R)-3-hydroxydecanoyl-CoA,HSD17B4,unknown
(R)-3-hydroxytetradecanoic acid,LY96,unknown
(R)-3-hydroxytetradecanoic acid,TLR4,inhibitor
(R)-Atenolol,LTF,unknown
(R)-Atenolol,PLA2G2E,unknown
(R)-Bicalutamide,AR,unknown
(R)-N-(1-Methyl-Hexyl)-Formamide,ADH1C,unknown
(R)-N-methyl-N-2-propynyl-1-indanamine,MAOB,inhibitor
(R)-Propylene glycol,LYZ,unknown
(R)-Rolipram,PDE4A,inhibitor
(R)-Rolipram,PDE4B,inhibitor
(R)-Rolipram,PDE4D,unknown
(R)-minalrestat,AKR1B1,unknown
(R)-tacrine(10)-hupyridone,ACHE,inhibitor
"(R,R)-2,3-Butanediol",UBE2D2,unknown
(Rp)-cAMPS,PRKAR1A,unknown
(S)-3-phenyllactic acid,CPA1,unknown
(S)-3-phenyllactic acid,RPL10L,unknown
(S)-3-phenyllactic acid,RPL11,unknown
(S)-3-phenyllactic acid,RPL13A,unknown
(S)-3-phenyllactic acid,RPL15,unknown
(S)-3-phenyllactic acid,RPL19,unknown
(S)-3-phenyllactic acid,RPL23,unknown
(S)-3-phenyllactic acid,RPL23A,unknown
(S)-3-phenyllactic acid,RPL26L1,unknown
(S)-3-phenyllactic acid,RPL3,unknown
(S)-3-phenyllactic acid,RPL37,unknown
(S)-3-phenyllactic acid,RPL8,unknown
(S)-3-phenyllactic acid,RSL24D1,unknown
(S)-3-phenyllactic acid,SNU13,unknown
(S)-4-hydroxymandelonitrile,LCTL,unknown
(S)-AMPA,GRIA1,inhibitor
(S)-AMPA,GRIA2,unknown
(S)-Aspartimide,LYZ,unknown
(S)-DES-ME-AMPA,GRIA2,unknown
(S)-Hmg-Coa,HMGCR,unknown
(S)-Indapamide,CA2,unknown
(S)-Rolipram,PDE4A,inhibitor
(S)-Rolipram,PDE4B,inhibitor
(S)-Rolipram,PDE4D,unknown
(S)-alpha-methyl-4-carboxyphenylglycine,GRM1,antagonist
(S)-alpha-methyl-4-carboxyphenylglycine,GRM2,antagonist
(S)-alpha-methyl-4-carboxyphenylglycine,GRM3,antagonist
(S)-alpha-methyl-4-carboxyphenylglycine,GRM5,antagonist
(S)-blebbistatin,MYH14,unknown
(S)-camphor,TRPA1,inhibitor
(S)-camphor,TRPM8,activator
(S)-camphor,TRPV1,agonist;activator
(S)-camphor,TRPV3,agonist;activator
(S)-carazolol,ADRB2,unknown
(S)-econazole,CYP51A1,unknown
(S)-famoxadone,CYC1,unknown
(S)-famoxadone,MT-CYB,unknown
(S)-famoxadone,UQCR10,unknown
(S)-famoxadone,UQCR11,unknown
(S)-famoxadone,UQCRB,unknown
(S)-famoxadone,UQCRC1,unknown
(S)-famoxadone,UQCRC2,unknown
(S)-famoxadone,UQCRFS1,unknown
(S)-famoxadone,UQCRH,unknown
(S)-famoxadone,UQCRQ,unknown
(S)-tacrine(10)-hupyridone,ACHE,inhibitor
(S)-wiskostatin,WAS,unknown
"(S,R)-fidarestat",AKR1B1,inhibitor
(South)-Methanocarba-Thymidine,TK1,inhibitor
"1,2,4-Triazole",CA2,inhibitor
"1,2,4-Triazole-Carboxamidine",NOS3,inhibitor
"1,2-Benzodiazepine",GABRG3,ligand
"1,2-Benzodiazepine",GABRQ,positive allosteric modulator
"1,2-Benzodiazepine",TSPO,agonist
"1,2-Dihydroxybenzene",CA12,inhibitor
"1,2-Dihydroxybenzene",CA2,inhibitor
"1,2-Dihydroxybenzene",CA4,inhibitor
"1,2-diacyl-sn-glycero-3-phosphoinositol",PITPNA,unknown
"1,3,2-Dioxaborolan-2-Ol",PRSS3,unknown
"1,3-Propanediol",ARF1,unknown
"1,3-diphenylurea",EPHX2,inhibitor
"1,4-Butanediol",MAN1B1,unknown
"1,4-Butanediol",PLA2G2A,inhibitor
"1,4-Butanediol",PLA2G2E,unknown
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",ANXA5,unknown
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",FGF2,unknown
"1,4-Dioxane",EPN1,unknown
"1,4-Dioxane",TGFB3,unknown
"1,4-Dioxane",TNFSF13B,inhibitor
"1,4-Dithiothreitol",ALDH1A1,unknown
"1,4-Dithiothreitol",AXIN1,unknown
"1,4-Dithiothreitol",CAMK2A,unknown
"1,4-Dithiothreitol",GSTZ1,unknown
"1,4-Dithiothreitol",HMGCR,unknown
"1,4-Dithiothreitol",LGALS1,unknown
"1,4-Dithiothreitol",MSRA,unknown
"1,4-Dithiothreitol",PPIB,unknown
"1,4-Dithiothreitol",TPI1,unknown
"1,4-Dithiothreitol",TRPM7,unknown
"1,4-dithio-alpha-D-glucopyranose",AMY2B,unknown
"1,6-Fructose Diphosphate (Linear Form)",ALDOA,unknown
"1,6-Fructose Diphosphate (Linear Form)",ALDOB,unknown
"1,8-Di-Hydroxy-4-Nitro-Anthraquinone",CSNK2A1,unknown
"1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One",CSNK2A1,unknown
1-(1-phenylcyclopentyl)methylamine,DPP4,inhibitor
"1-(2,2'-bithiophen-5-yl)methanamine",LTA4H,inhibitor
1-(4-thiophen-2-ylphenyl)methanamine,LTA4H,inhibitor
1-(biphenyl-4-ylmethyl)-1H-imidazole,CYP2B6,unknown
"1-Beta-Ribofuranosyl-1,3-Diazepinone",CDA,unknown
1-Deaza-Adenosine,ADA,inhibitor
1-Deoxy-1-Thio-Heptaethylene Glycol,ACHE,inhibitor
1-Dodecanol,FAAH,unknown
"1-Ethyl-Pyrrolidine-2,5-Dione",ERO1B,unknown
"1-Ethyl-Pyrrolidine-2,5-Dione",NSF,unknown
1-Guanidinium-7-Aminoheptane,DHPS,inhibitor
1-Hydroxy-1-Thio-Glycerol,PREP,inhibitor
1-Hydroxy-2-Amino-3-Cyclohexylpropane,REN,inhibitor
1-Hydroxyamine-2-Isobutylmalonic Acid,MMP8,inhibitor
"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine",REN,inhibitor
1-Methylhistidine,ACTA1,unknown
1-Methylimidazole,MB,unknown
1-Testosterone,AR,agonist
1-[4-(hydroxymethyl)phenyl]guanidine,PRSS8,unknown
1-benzylimidazole,CYP11B1,inhibitor
1-benzylimidazole,QPCT,unknown
1-biphenyl-2-ylmethanamine,DPP4,inhibitor
1-deoxymannojirimycin,MAN2A1,unknown
1-hydroxy-2-isopropylguanidine,NOS1,inhibitor
1-naphthaleneacetic acid,SKP1,unknown
"10-Propargyl-5,8-Dideazafolic Acid",DHRS4L1,unknown
"10-Propargyl-5,8-Dideazafolic Acid",NQO2,inhibitor
"10-Propargyl-5,8-Dideazafolic Acid",TYMS,unknown
"10-formyl-5,8,10-trideazafolic acid",GART,inhibitor
10-hydroxycamptothecin,TOP1,inhibitor
12-Bromododecanoic Acid,PAEP,unknown
12-Hydroxydodecanoic Acid,ADH5,unknown
12-Phenylheme,HMOX1,unknown
13-Acetylphorbol,PRKCD,inhibitor
13-deoxydoxorubicin,TOP2A,unknown
"16,17-Androstene-3-Ol",NR1I3,antagonist
16-Bromoepiandrosterone,AR,inhibitor
16-Bromoepiandrosterone,G6PD,unknown
17alpha-Estriol,ESR2,unknown
17alpha-Estriol,NCOA5,unknown
18-methoxycoronaridine,CHRNA2,antagonist
18-methoxycoronaridine,CHRNA3,antagonist
"1D-myo-inositol 1,4,5-trisphosphate",CYTH2,unknown
"1D-myo-inositol 1,4,5-trisphosphate",EPN1,unknown
"1D-myo-inositol 1,4,5-trisphosphate",ITPKA,unknown
"1D-myo-inositol 1,4,5-trisphosphate",ITPR1,inhibitor
"1D-myo-inositol 1,4,5-trisphosphate",ITPR2,inhibitor
"1D-myo-inositol 1,4,5-trisphosphate",ITPR3,inhibitor
"1D-myo-inositol 1,4,5-trisphosphate",PLCD1,unknown
"1D-myo-inositol 1,4,5-trisphosphate",RDX,unknown
"1D-myo-inositol 1,4,5-trisphosphate",SPTBN1,unknown
1alpha-Hydroxyvitamin D5,REN,agonist
1h-Benoximidazole-2-Carboxylic Acid,CTSD,inhibitor
"2',3'-Dideoxyadenosine triphosphate",DNTT,unknown
"2',3'-Dideoxythymidine-5'-Monophosphate",DTYMK,unknown
2'-Deoxyguanosine-5'-Diphosphate,NME1,unknown
2'-Deoxyguanosine-5'-Triphosphate,NME1,unknown
2'-Deoxyuridine,TK1,inhibitor
2'-Deoxyuridine 3'-Monophosphate,RNASE1,unknown
2'-Deoxyuridine 3'-Monophosphate,RNASE4,unknown
2'-Monophosphoadenosine-5'-Diphosphate,PDF,inhibitor
2'-Monophosphoadenosine-5'-Diphosphate,RNASE1,unknown
2'-O-Acetyl Adenosine-5-Diphosphoribose,SIRT5,unknown
2'-cytidylic acid,RNASE1,unknown
2(S)-Amino-6-Boronohexanoic Acid,ARG1,unknown
"2,2-Dimethylbutyrate",HBA1,inducer
"2,3,-Dihydroxybenzoylserine",LCN2,unknown
"2,3,4,5,6-Pentafluorobenzyl Alcohol",ADH1C,unknown
"2,3,5,6-Tetrafluoro-4-Methoxy-Benzamide",LGALS3,inhibitor
"2,3-Difluorobenzyl Alcohol",ADH1C,unknown
"2,3-Dihydroxy-Benzoic Acid",LCN2,unknown
"2,4,6-Triaminoquinazoline",DHRS4L1,unknown
"2,4-Diamino-5-phenyl-6-ethylpyrimidine",TYMS,unknown
"2,4-Dihydroxy-Trans Cinnamic Acid",CTRB1,unknown
"2,4-thiazolidinedione",PPARG,agonist
"2,5-Anhydroglucitol-1,6-Biphosphate",FBP1,inhibitor
"2,5-Anhydroglucitol-1,6-Biphosphate",FBP2,inhibitor
"2,5-Dimethoxy-4-ethylamphetamine",HTR2A,inhibitor
"2,5-Dimethoxy-4-ethylthioamphetamine",HTR2A,agonist
"2,5-Dimethoxy-4-ethylthioamphetamine",HTR2C,agonist
"2,5-Dimethoxyamphetamine",HTR1A,inhibitor
"2,5-Dimethoxyamphetamine",HTR1D,inhibitor
"2,5-Dimethoxyamphetamine",HTR2A,inhibitor
"2,5-di-tert-butylhydroquinone",ATP2A1,unknown
"2,6-Diamino-Hexanoic Acid Amide",ADCYAP1,unknown
"2,6-Difluorobenzenesulfonamide",CA2,inhibitor
"2,6-dicarboxynaphthalene",HBA1,inhibitor
"2,6-dicarboxynaphthalene",HBB,unknown
2-(1H-pyrazol-3-yl)-1H-benzimidazole,AURKA,inhibitor
2-(N-morpholino)ethanesulfonic acid,ACHE,inhibitor
2-(N-morpholino)ethanesulfonic acid,ARL3,unknown
2-(N-morpholino)ethanesulfonic acid,ASL,unknown
2-(N-morpholino)ethanesulfonic acid,B4GALT1,unknown
2-(N-morpholino)ethanesulfonic acid,BCHE,inhibitor
2-(N-morpholino)ethanesulfonic acid,CMA1,inhibitor
2-(N-morpholino)ethanesulfonic acid,GSTP1,unknown
2-(N-morpholino)ethanesulfonic acid,HSD11B1,inhibitor
2-(N-morpholino)ethanesulfonic acid,IRGC,unknown
2-(N-morpholino)ethanesulfonic acid,L3MBTL1,unknown
2-(N-morpholino)ethanesulfonic acid,PDF,inhibitor
2-(N-morpholino)ethanesulfonic acid,PRDX6,unknown
2-(N-morpholino)ethanesulfonic acid,QDPR,unknown
2-(N-morpholino)ethanesulfonic acid,SFTPA1,unknown
2-(Oxalyl-Amino)-Benzoic Acid,PTPN1,inhibitor
2-(Sec-Butyl)Thiazole,LCN9,unknown
2-(cyclohexylamino)benzoic acid,CHEK1,inhibitor
2-Amino-1H-benzimidazol-5-ol,PLAU,inhibitor
2-Amino-3-Oxo-4-Sulfo-Butyric Acid,STS,unknown
2-Amino-6-Chloropyrazine,CDK2,inhibitor
"2-Amino-N,3,3-Trimethylbutanamide",MMP9,unknown
2-Aminobenzyl alcohol,CFD,unknown
2-Aminoethanimidic Acid,CTSB,unknown
2-Aminopropanedioic Acid,ATM,inhibitor
2-Aminothiazoline,NOS1,inhibitor
2-Aminothiazoline,NOS2,inhibitor
2-Aminothiazoline,NOS3,inhibitor
2-Benzyl-3-Iodopropanoic Acid,CPA1,unknown
2-Bromoacetyl Group,PTGS1,inhibitor
2-Carboxyethylphosphonic Acid,TPI1,unknown
2-Chlorodideoxyadenosine,HSP90B1,unknown
2-Chlorophenol,MAPK14,inhibitor
2-Cyclopropylmethylenepropanal,REN,inhibitor
2-Deoxy-2-Amino Glucitol-6-Phosphate,GNPDA1,unknown
2-Deoxy-Glucitol-6-Phosphate,ISYNA1,unknown
2-Deoxy-Glucose-6-Phosphate,PYGM,inhibitor
2-Ethoxyethanol,ADH1C,unknown
2-Hydroxyethyl Disulfide,GSTA1,unknown
"2-Hydroxymethyl-Pyrrolidine-3,4-Diol",PNP,inhibitor
2-Hydroxyquinoline,TOP2A,inhibitor
2-Hydroxyquinoline,TOP2B,inhibitor
2-Isobutyl-3-methoxypyrazine,LCN9,unknown
2-Methoxy-3-Isopropylpyrazine,LCN9,unknown
2-Methoxyestradiol,COMT,unknown
2-Methoxyestradiol,CYP19A1,unknown
2-Methoxyestradiol,CYP1A1,unknown
2-Methoxyestradiol,CYP1B1,unknown
2-Methoxyestradiol,HIF1A,modulator
2-Methyl-3-(2-Aminothiazolo)Propanal,REN,inhibitor
2-Morpholinoethylamine,CTSD,inhibitor
2-Naphthalenesulfonic acid,F2,inhibitor
2-Naphthalenesulfonic acid,PRSS1,unknown
2-Nonyl-4-quinolinol 1-oxide,CYC1,unknown
2-Nonyl-4-quinolinol 1-oxide,MT-CYB,unknown
2-Nonyl-4-quinolinol 1-oxide,UQCR10,unknown
2-Nonyl-4-quinolinol 1-oxide,UQCR11,unknown
2-Nonyl-4-quinolinol 1-oxide,UQCRB,unknown
2-Nonyl-4-quinolinol 1-oxide,UQCRC1,unknown
2-Nonyl-4-quinolinol 1-oxide,UQCRC2,unknown
2-Nonyl-4-quinolinol 1-oxide,UQCRFS1,unknown
2-Nonyl-4-quinolinol 1-oxide,UQCRH,unknown
2-Nonyl-4-quinolinol 1-oxide,UQCRQ,unknown
2-Phenylheme,HMOX1,inhibitor
2-Phosphoglycolic Acid,ENO2,unknown
2-Phosphoglycolic Acid,ENO3,unknown
2-Phosphoglycolic Acid,PKLR,unknown
2-Phosphoglycolic Acid,PKM,unknown
2-Phosphoglycolic Acid,TPI1,unknown
2-Pyridinethiol,CTSB,unknown
2-Thiomethyl-3-Phenylpropanoic Acid,MMP8,inhibitor
2-Undecanone,ACOT13,unknown
2-acetylamino-2-deoxy-b-D-allopyranose,CHIT1,unknown
2-aminoisobutyric acid,CRH,unknown
2-aminoisobutyric acid,NPY,unknown
2-butyl-1-hydroxyguanidine,NOS1,inhibitor
2-chloro-5-nitro-N-phenylbenzamide,NCOA2,unknown
2-chloro-5-nitro-N-phenylbenzamide,PPARG,inhibitor
2-chloro-5-nitro-N-phenylbenzamide,RXRA,inhibitor
2-deoxy-2-fluoro-α-D-glucose,LCT,unknown
2-mercaptobenzothiazole,TPO,inhibitor
2-phospho-D-glyceric acid,ENO3,unknown
25-Hydroxycholesterol,RORC,agonist
2H-Benzimidazol-2-amine,PRSS1,unknown
2X-121,PARP1,inhibitor
2X-121,PARP2,inhibitor
2X-121,TNKS,inhibitor
2X-121,TNKS2,inhibitor
"2s,4r-4-Methylglutamate",GRIK1,inhibitor
"2s,4r-4-Methylglutamate",GRIK2,unknown
3'-Oxo-Adenosine,AHCY,unknown
3'-Phosphate-Adenosine-5'-Diphosphate,RNASE1,unknown
3'-Uridinemonophosphate,RNASE1,unknown
3'-deoxyguanosine,PNP,inhibitor
3'-phospho-5'-adenylyl sulfate,SULT1E1,unknown
"3,20-Pregnanedione",AKR1D1,unknown
"3,20-Pregnanedione",NCOA1,unknown
"3,20-Pregnanedione",NR1I3,inhibitor
"3,20-Pregnanedione",RXRA,inhibitor
"3,3',5,5'-tetrachlorobiphenyl-4,4'-diol",SULT1E1,unknown
"3,4-Dichloroisocoumarin",CFD,unknown
"3,4-Dichloroisocoumarin",ELANE,inhibitor
"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",DAO,unknown
"3,4-Dihydro-5-Methyl-Isoquinolinone",PARP1,inhibitor
"3,4-Dihydroxycinnamic Acid",ALOX5,inhibitor
"3,4-Dihydroxycinnamic Acid",MIF,inhibitor
"3,5-Difluorobenzenesulfonamide",CA2,inhibitor
"3,5-Diiodotyrosine",IYD,unknown
"3,5-Diiodotyrosine",PKIA,unknown
"3,5-Diiodotyrosine",PRKACA,unknown
"3,5-Diiodotyrosine",PRSS1,unknown
"3,5-Dinitrocatechol",COMT,inhibitor
"3,6,9,12,15-Pentaoxaheptadecane",ACHE,inhibitor
"3,6-dihydroxy-xanthene-9-propionic acid",GSR,inhibitor
3-(10-methyl-9-anthryl)propanoic acid,IGHG1,unknown
3-(4-nitrophenyl)-1H-pyrazole,HPGDS,unknown
3-(Benzyloxy)Pyridin-2-Amine,LTA4H,inhibitor
3-(Benzyloxy)Pyridin-2-Amine,MAPK14,inhibitor
3-(INDOL-3-YL) LACTATE,HAO1,unknown
3-(N-morpholino)propanesulfonic acid,GNLY,unknown
3-Amino-4-Oxybenzyl-2-Butanone,CTSB,unknown
3-Bromo-7-Nitroindazole,NOS1,inhibitor
3-Bromo-7-Nitroindazole,NOS2,inhibitor
3-Bromo-7-Nitroindazole,NOS3,inhibitor
3-Butylthiolane 1-Oxide,ADH1C,unknown
"3-Carbamimidamido-1,1-diphenylurea",F2,unknown
3-Cyclohexyl-L-alanine,CACNA2D1,inhibitor
3-Cyclohexyl-L-alanine,ZFY,unknown
"3-Decyl-2,5-Dioxo-4-Hydroxy-3-Pyrroline",HAO1,unknown
3-Fluoro-L-tyrosine,SOD2,unknown
3-Hydroxybutyryl-Coenzyme A,HADH,unknown
3-Indolebutyric Acid,B2M,unknown
3-Indolebutyric Acid,TRAC,unknown
3-Indolebutyric Acid,TRBC1,unknown
3-Iodo-Tyrosine,TH,inhibitor
3-Mercuri-4-Aminobenzenesulfonamide,CA2,inhibitor
3-Methoxybenzamide,PARP1,inhibitor
3-Methylfentanyl,OPRD1,agonist
3-Methylfentanyl,OPRK1,agonist
3-Methylfentanyl,OPRM1,agonist
3-Methylphenylalanine,CTSB,unknown
3-Methylpyridine,MMP13,inhibitor
3-Methylpyridine,MMP3,inhibitor
3-Methylthiofentanyl,OPRD1,agonist
3-Methylthiofentanyl,OPRK1,agonist
3-Methylthiofentanyl,OPRM1,agonist
3-Oxiran-2ylalanine,MAT1A,unknown
"3-Phenyl-1,2-Propandiol",REN,inhibitor
3-Phenylpropylamine,PRSS1,unknown
3-Phenylpropylamine,PRSS2,unknown
3-Phosphono-D-alanine,PSPH,unknown
3-Tyrosine,TH,inhibitor
3-amino-5-phenylpentane,CTSK,unknown
3-amino-5-phenylpentane,CTSV,unknown
3-hydroxyglutaric acid,HMGCL,unknown
3-isobutyl-1-methyl-7H-xanthine,ADORA1,antagonist
3-isobutyl-1-methyl-7H-xanthine,ADORA2A,inhibitor
3-isobutyl-1-methyl-7H-xanthine,ADORA2B,inhibitor
3-isobutyl-1-methyl-7H-xanthine,ADORA3,inhibitor
3-isobutyl-1-methyl-7H-xanthine,PDE2A,inhibitor
3-isobutyl-1-methyl-7H-xanthine,PDE3A,inhibitor
3-isobutyl-1-methyl-7H-xanthine,PDE3B,unknown
3-isobutyl-1-methyl-7H-xanthine,PDE4A,inhibitor
3-isobutyl-1-methyl-7H-xanthine,PDE4B,inhibitor
3-isobutyl-1-methyl-7H-xanthine,PDE4D,inhibitor
3-isobutyl-1-methyl-7H-xanthine,PDE5A,inhibitor
3-isobutyl-1-methyl-7H-xanthine,PDE6G,unknown
3-isobutyl-1-methyl-7H-xanthine,PDE7A,unknown
3-isobutyl-1-methyl-7H-xanthine,PDE8A,unknown
3-isobutyl-1-methyl-7H-xanthine,PDE9A,unknown
3-nitro-L-tyrosine,GSR,inhibitor
3-phenyl-5-(1H-pyrazol-3-yl)isoxazole,HPGDS,unknown
3-phospho-D-glyceric acid,PGAM2,unknown
3-phospho-D-glyceric acid,PGK1,unknown
3-phospho-D-glyceric acid,TPI1,unknown
3-pyridin-4-yl-1H-indazole,PKIA,unknown
3-pyridin-4-yl-1H-indazole,PRKACA,unknown
3-sulfino-L-alanine,GSR,inhibitor
3-sulfino-L-alanine,PAPOLA,unknown
3-sulfino-L-alanine,PRDX2,unknown
3-thiaoctanoyl-CoA,ACADM,unknown
"3H-pyrazolo[4,3-d]pyrimidin-7-ol",HPRT1,unknown
"3h-Indole-5,6-Diol",LTF,inhibitor
4'-Hydroxyflavanone,SHBG,unknown
4'-Thio-fac,POLB,inhibitor
"4,6-Dideoxyglucose",GAA,inhibitor
"4,6-Dideoxyglucose",GANAB,inhibitor
"4,6-Dideoxyglucose",GANC,inhibitor
"4,6-dideoxy-4-amino-alpha-D-glucose",AMY2A,inhibitor
"4,7-Dioxosebacic Acid",ALAD,inhibitor
"4-(2,5-DIAMINO-5-HYDROXY-PENTYL)-PHENOL",F2,inhibitor
"4-(2-amino-1,3-thiazol-4-yl)phenol",FBP1,inhibitor
"4-(2-amino-1,3-thiazol-4-yl)phenol",FBP2,inhibitor
"4-(2-amino-1,3-thiazol-4-yl)phenol",LTA4H,inhibitor
4-(2-aminoethyl)-2-cyclohexylphenol,BACE1,unknown
4-(2-aminoethyl)-2-ethylphenol,BACE1,unknown
4-(4-Chlorophenyl)Imidazole,CYP2B6,unknown
4-(Hydroxymethyl)Benzamidine,PRSS3,unknown
"4-(N,N-Dimethylamino)cinnamoyl-CoA",ECHS1,unknown
4-Amino Hexanoic Acid,ABAT,unknown
"4-Bromo-2,5-dimethoxyphenethylamine",HTR2A,partial agonist
"4-Bromo-2,5-dimethoxyphenethylamine",HTR2C,partial agonist
4-Carboxycinnamic Acid,HBA1,inhibitor
4-Carboxycinnamic Acid,HBB,unknown
4-Deoxy-Alpha-D-Glucose,SMARCA5,unknown
4-Flourobenzenesulfonamide,CA2,inhibitor
4-Fluorobenzylamine,PRSS1,unknown
4-Hydroxy-Aconitate Ion,ACO2,unknown
4-Hydroxybutan-1-Aminium,PRSS3,unknown
4-Hydroxyphenylpyruvic acid,F2,inhibitor
4-Hydroxyphenylpyruvic acid,MIF,inhibitor
4-Iodo-L-phenylalanine,DPP4,inhibitor
4-Iodobenzo[B]Thiophene-2-Carboxamidine,F2,inhibitor
4-Iodobenzo[B]Thiophene-2-Carboxamidine,F9,inhibitor
4-Iodobenzo[B]Thiophene-2-Carboxamidine,PLAU,inhibitor
4-Iodobenzo[B]Thiophene-2-Carboxamidine,PRSS1,unknown
4-Iodopyrazole,ADH1A,unknown
4-Iodopyrazole,ADH1B,unknown
4-Iodopyrazole,ADH1C,unknown
4-Methoxyamphetamine,ADRA1A,agonist
4-Methoxyamphetamine,ADRA1D,agonist
4-Methoxyamphetamine,ADRA2A,agonist
4-Methoxyamphetamine,MAOA,inhibitor
4-Methoxyamphetamine,MAOB,inhibitor
4-Methoxyamphetamine,SLC18A2,inhibitor
4-Methoxyamphetamine,SLC6A3,inhibitor
4-Methoxyamphetamine,SLC6A4,inhibitor
"4-Methyl-2,5-dimethoxyamphetamine",HTR2A,inhibitor
4-Methylimidazole,CA2,inhibitor
4-Methylimidazole,CA5A,unknown
4-Methylimidazole,MB,unknown
4-Methylpiperazin-1-Yl Carbonyl Group,CTSV,unknown
4-Methylthio-Alpha-D-Mannose,AMY2B,unknown
4-Nitrocatechol sulfate,ARSA,unknown
4-Nitrophenyl Phosphate,ACP1,unknown
4-Nitrophenyl Phosphate,CA1,inhibitor
4-Nitrophenyl Phosphate,CA2,inhibitor
4-Nitrophenyl Phosphate,DUSP23,unknown
4-Oxosebacic Acid,ALAD,inhibitor
4-Phenyl-1h-Imidazole,IDO1,inhibitor
4-Phenylbutylamine,PRSS1,unknown
4-Piperidino-Piperidine,CES1,inhibitor
4-guanidinobenzoic acid,CFB,unknown
4-hydroxybenzoic acid,MAOB,inhibitor
4-hydroxybutan-2-one,FKBP1A,inhibitor
4-isothioureidobutyronitrile,TP53,stimulator
4-methoxybenzenesulfinate,MMP13,inhibitor
4-methoxybenzenesulfinate,MMP3,inhibitor
4-phospho-D-erythronic acid,PGD,inhibitor
4-phospho-L-threonic acid,RPIA,unknown
4R-Fluoro-N6-ethanimidoyl-L-lysine,NOS2,inhibitor
4SC-203,FLT3,modulator
5'-Deoxy-5'-(Methylthio)-Tubercidin,MTAP,unknown
5'-Guanylylmethylenebisphosphonate,PCK1,unknown
5'-O-(L-Cysteinylsulfamoyl)adenosine,EPRS1,unknown
5'-O-(L-Prolylsulfamoyl)adenosine,EPRS1,unknown
5'-O-(N-(Alanyl)sulfamoyl)adenosine,EPRS1,unknown
5'-O-(N-Ethyl-Sulfamoyl)Adenosine,HINT1,unknown
5'-S-methyl-5'-thioadenosine,ADORA1,inhibitor
5'-S-methyl-5'-thioadenosine,ADORA2A,inhibitor
5'-S-methyl-5'-thioadenosine,ADORA2B,inhibitor
5'-S-methyl-5'-thioadenosine,ADORA3,inhibitor
5'-S-methyl-5'-thioadenosine,MTAP,unknown
5'-deoxy-5'-piperidin-1-ylthymidine,RNASE1,unknown
"5,6-Cyclic-Tetrahydropteridine",NOS3,inhibitor
"5,6-Dihydro-Benzo[H]Cinnolin-3-Ylamine",DAPK1,unknown
"5,7,2′-trihydroxy-6,8-dimethoxyflavone",GABRG3,ligand
"5,7-Dichlorokynurenic acid",GRIN1,inhibitor
"5-(2-hydroxyethyl)nonane-1,9-diol",ECE1,unknown
"5-Alpha-Androstane-3-Beta,17beta-Diol",ESR2,agonist
5-Amidino-Benzimidazole,PRSS1,unknown
5-Aminouracil,RNASE1,unknown
5-Benzylacyclouridine,UPP1,unknown
5-Bromoindirubin,CDK2,unknown
5-Bromonicotinamide,ART1,unknown
5-Bromothienyldeoxyuridine,TK1,inhibitor
"5-Chloryl-2,4,6-quinazolinetriamine",DHFR2,unknown
"5-Chloryl-2,4,6-quinazolinetriamine",PDF,inhibitor
5-Fluorolevulinic Acid,ALAD,inhibitor
5-Hydroxy-N-Propargyl-1(R)-Aminoindan,MAOB,ligand
