gene1,gene2,weight
CFHR2,MMACHC,0.581
CFHR2,MYBPH,0.724
CFHR2,PGC,0.496
CFHR2,RAPGEF1,0.571
CFHR2,RBMS2,0.685
CFHR2,THBD,0.48
CFHR3,CFHR4,0.752
CFHR3,CFHR5,0.769
CFHR3,CFI,0.889
CFHR3,CFP,0.592
CFHR3,CNDP2,0.489
CFHR3,CRP,0.6
CFHR3,CST3,0.439
CFHR3,CX3CR1,0.407
CFHR3,CYFIP1,0.487
CFHR3,DGKE,0.772
CFHR3,ERCC6,0.533
CFHR3,FBLN5,0.526
CFHR3,FCN2,0.453
CFHR3,HMCN1,0.6
CFHR3,HORMAD2,0.506
CFHR3,HP,0.409
CFHR3,MASP2,0.442
CFHR3,MBL2,0.413
CFHR3,MMACHC,0.582
CFHR3,MNS1,0.416
CFHR3,MYBPH,0.787
CFHR3,NIPA2,0.667
CFHR3,PGC,0.429
CFHR3,RAPGEF1,0.571
CFHR3,RAX2,0.48
CFHR3,RBMS2,0.808
CFHR3,THBD,0.632
CFHR3,TUBGCP5,0.775
CFHR4,CFHR5,0.814
CFHR4,CFI,0.642
CFHR4,CFP,0.742
CFHR4,CNDP2,0.547
CFHR4,CRP,0.985
CFHR4,DDX28,0.424
CFHR4,DGKE,0.669
CFHR4,DUS2,0.427
CFHR4,F13B,0.455
CFHR4,FCN2,0.4
CFHR4,KCNT2,0.428
CFHR4,MASP2,0.448
CFHR4,MBL2,0.48
CFHR4,MMACHC,0.513
CFHR4,MYBPH,0.785
CFHR4,PGC,0.498
CFHR4,RAPGEF1,0.449
CFHR4,RBMS2,0.622
CFHR4,SERPINA3,0.413
CFHR4,THBD,0.511
CFHR4,ZBTB41,0.499
CFHR5,CFI,0.704
CFHR5,CFP,0.647
CFHR5,CNDP2,0.544
CFHR5,COL4A4,0.405
CFHR5,CRP,0.873
CFHR5,DGKE,0.796
CFHR5,F13B,0.556
CFHR5,F9,0.81
CFHR5,FCN1,0.463
CFHR5,FCN2,0.542
CFHR5,FCRL2,0.406
CFHR5,FGA,0.691
CFHR5,FGB,0.455
CFHR5,FGG,0.469
CFHR5,FTCD,0.406
CFHR5,HAO1,0.407
CFHR5,HGD,0.7
CFHR5,HRG,0.474
CFHR5,LBP,0.429
CFHR5,MASP1,0.455
CFHR5,MASP2,0.577
CFHR5,MBL2,0.549
CFHR5,MMACHC,0.634
CFHR5,MYBPH,0.781
CFHR5,PGC,0.506
CFHR5,PTX3,0.916
CFHR5,RAPGEF1,0.806
CFHR5,RBMS2,0.646
CFHR5,SAA1,0.435
CFHR5,SERPINF2,0.457
CFHR5,SERPING1,0.447
CFHR5,SPP2,0.402
CFHR5,THBD,0.653
CFHR5,VTN,0.53
CFHR5,ZBTB41,0.425
CFI,CFP,0.736
CFI,CHI3L1,0.419
CFI,CLU,0.496
CFI,COLEC10,0.578
CFI,COLEC11,0.627
CFI,CP,0.443
CFI,CPB2,0.526
CFI,CPSF1,0.475
CFI,CR1,0.905
CFI,CRP,0.541
CFI,CSTF3,0.495
CFI,DGKE,0.697
CFI,DHX58,0.412
CFI,ECM1,0.474
CFI,ENPEP,0.683
CFI,ENSP00000493607,0.9
CFI,F10,0.69
CFI,F11,0.666
CFI,F12,0.683
CFI,F2,0.773
CFI,F3,0.609
CFI,F5,0.63
CFI,F7,0.659
CFI,F8,0.574
CFI,F9,0.673
CFI,FCN1,0.617
CFI,FCN2,0.663
CFI,FCN3,0.7
CFI,FGA,0.596
CFI,FGB,0.48
CFI,FGG,0.515
CFI,GC,0.407
CFI,HABP2,0.442
CFI,HPX,0.489
CFI,HRG,0.462
CFI,HTRA2,0.551
CFI,ITIH3,0.42
CFI,KLKB1,0.674
CFI,KNG1,0.455
CFI,LIPC,0.431
CFI,MASP1,0.647
CFI,MASP2,0.69
CFI,MBL2,0.811
CFI,MMACHC,0.429
CFI,ORM2,0.465
CFI,PCF11,0.409
CFI,PGLYRP2,0.505
CFI,PLAU,0.635
CFI,PLAUR,0.551
CFI,PLG,0.406
CFI,PROC,0.684
CFI,PTK2,0.446
CFI,SELENOO,0.461
CFI,SERPINA1,0.584
CFI,SERPINA10,0.537
CFI,SERPINA3,0.609
CFI,SERPINC1,0.545
CFI,SERPIND1,0.7
CFI,SERPINF2,0.49
CFI,SERPING1,0.634
CFI,SFTPD,0.419
CFI,SYMPK,0.68
CFI,THBD,0.886
CFI,VDAC1,0.408
CFI,VTN,0.505
CFI,ZNF341,0.463
CFL1,CFL2,0.972
CFL1,CKB,0.455
CFL1,CLCN5,0.808
CFL1,CLTCL1,0.465
CFL1,CMIP,0.472
CFL1,COPE,0.402
CFL1,CORO1A,0.86
CFL1,CORO1B,0.644
CFL1,CORO1C,0.556
CFL1,CORO2A,0.453
CFL1,CORO6,0.499
CFL1,CORO7-PAM16,0.834
CFL1,COTL1,0.582
CFL1,CREB1,0.627
CFL1,CST3,0.431
CFL1,CTNNB1,0.514
CFL1,CTTN,0.996
CFL1,CUL7,0.521
CFL1,CYCS,0.473
CFL1,DAAM1,0.406
CFL1,DBN1,0.734
CFL1,DBNL,0.621
CFL1,DIAPH1,0.61
CFL1,DIAPH3,0.594
CFL1,DLG4,0.562
CFL1,DNM2,0.471
CFL1,DPYSL2,0.434
CFL1,DSTN,0.637
CFL1,DYNLL1,0.433
CFL1,ECT2,0.481
CFL1,EEF1A1,0.425
CFL1,EGF,0.519
CFL1,EGFR,0.794
CFL1,EIF1,0.402
CFL1,EIF5A,0.522
CFL1,ENO1,0.755
CFL1,EPN1,0.409
CFL1,EPN3,0.45
CFL1,EPS8,0.403
CFL1,ERBB4,0.545
CFL1,EZR,0.636
CFL1,FABP4,0.409
CFL1,FLNA,0.916
CFL1,FLNB,0.829
CFL1,FLNC,0.812
CFL1,FMN2,0.467
CFL1,FMNL1,0.463
CFL1,FMR1,0.414
CFL1,FN1,0.521
CFL1,FSCN1,0.775
CFL1,FXR2,0.494
CFL1,FYN,0.445
CFL1,G3BP1,0.402
CFL1,GAPDH,0.772
CFL1,GC,0.51
CFL1,GMFB,0.45
CFL1,GMFG,0.534
CFL1,GRB2,0.687
CFL1,GRIA1,0.488
CFL1,GRIK2,0.417
CFL1,GSK3B,0.462
CFL1,GSN,0.867
CFL1,H2AX,0.418
CFL1,HCLS1,0.995
CFL1,HIP1R,0.496
CFL1,HNRNPK,0.533
CFL1,HSP90AA1,0.688
CFL1,HSP90AB1,0.688
CFL1,HSPA4,0.442
CFL1,HSPA5,0.568
CFL1,HSPA8,0.472
CFL1,HSPA9,0.634
CFL1,HSPB1,0.606
CFL1,HSPB2,0.542
CFL1,HSPB3,0.531
CFL1,HSPH1,0.635
CFL1,HTT,0.546
CFL1,HUNK,0.442
CFL1,ICAM1,0.545
CFL1,ILK,0.527
CFL1,INF2,0.462
CFL1,IPO9,0.746
CFL1,IQGAP1,0.611
CFL1,ISG15,0.409
CFL1,ITIH4,0.6
CFL1,JAK1,0.523
CFL1,JAK2,0.535
CFL1,JUN,0.457
CFL1,KALRN,0.405
CFL1,KIF23,0.568
CFL1,LAMTOR1,0.432
CFL1,LCP1,0.631
CFL1,LIMK1,0.999
CFL1,LIMK2,0.995
CFL1,LMNA,0.436
CFL1,LRRK2,0.445
CFL1,MAPK1,0.58
CFL1,MAPK3,0.527
CFL1,MAPK7,0.55
CFL1,MAPT,0.525
CFL1,MICAL1,0.445
CFL1,MMP14,0.663
CFL1,MMP2,0.551
CFL1,MMP9,0.59
CFL1,MSN,0.769
CFL1,MYC,0.706
CFL1,MYH9,0.586
CFL1,MYL12B,0.548
CFL1,MYL2,0.52
CFL1,MYL6,0.838
CFL1,MYL9,0.483
CFL1,MYLK3,0.454
CFL1,MYO1C,0.413
CFL1,NCK1,0.832
CFL1,NEDD9,0.459
CFL1,NEXN,0.476
CFL1,NFKB1,0.423
CFL1,NME1,0.427
CFL1,NPM1,0.479
CFL1,NTRK2,0.414
CFL1,NUDCD2,0.421
CFL1,OAZ1,0.436
CFL1,PAK1,0.58
CFL1,PAK2,0.423
CFL1,PAK4,0.755
CFL1,PAK6,0.412
CFL1,PARK7,0.504
CFL1,PDXP,0.894
CFL1,PFN1,0.994
CFL1,PFN2,0.567
CFL1,PFN3,0.958
CFL1,PFN4,0.965
CFL1,PGK1,0.483
CFL1,PHACTR1,0.511
CFL1,PHACTR4,0.513
CFL1,PHB,0.528
CFL1,PLD1,0.671
CFL1,PLD2,0.489
CFL1,PLEK,0.432
CFL1,PLEK2,0.431
CFL1,PLS3,0.515
CFL1,PML,0.409
CFL1,POTEE,0.408
CFL1,POTEF,0.505
CFL1,PPIA,0.88
CFL1,PPP1CA,0.482
CFL1,PPP1R12A,0.55
CFL1,PPP1R9B,0.416
CFL1,PPP2CA,0.487
CFL1,PRDX1,0.704
CFL1,PRDX5,0.602
CFL1,PRKACA,0.475
CFL1,PRKACB,0.458
CFL1,PRKACG,0.46
CFL1,PRKCZ,0.531
CFL1,PRKD1,0.437
CFL1,PRKD3,0.413
CFL1,PRNP,0.601
CFL1,PTEN,0.472
CFL1,PTK2,0.534
CFL1,PTK2B,0.413
CFL1,PXDN,0.497
CFL1,PXDNL,0.493
CFL1,PXN,0.795
CFL1,RAB11A,0.465
CFL1,RAB5A,0.426
CFL1,RAB6A,0.42
CFL1,RAB7A,0.452
CFL1,RABIF,0.518
CFL1,RAC1,0.542
CFL1,RAC2,0.56
CFL1,RACGAP1,0.475
CFL1,RASA1,0.422
CFL1,RDX,0.617
CFL1,RHOA,0.962
CFL1,RHOB,0.709
CFL1,RHOC,0.797
CFL1,RHOG,0.545
CFL1,RND1,0.559
CFL1,RND3,0.76
CFL1,ROCK1,0.924
CFL1,ROCK2,0.876
CFL1,RPS20,0.454
CFL1,RTN4,0.48
CFL1,S100A11,0.417
CFL1,SCIN,0.866
CFL1,SCRIB,0.583
CFL1,SEMA3A,0.586
CFL1,SEPTIN2,0.403
CFL1,SEPTIN7,0.578
CFL1,SEPTIN9,0.428
CFL1,SH3BGRL3,0.606
CFL1,SH3PXD2A,0.832
CFL1,SH3PXD2B,0.578
CFL1,SLC9A1,0.419
CFL1,SOX2,0.413
CFL1,SPTA1,0.404
CFL1,SPTAN1,0.513
CFL1,SRC,0.847
CFL1,SRF,0.504
CFL1,SSH1,0.998
CFL1,SSH2,0.987
CFL1,SSH3,0.989
CFL1,STARD13,0.485
CFL1,STAT4,0.753
CFL1,STMN1,0.484
CFL1,STXBP1,0.43
CFL1,SYNPO,0.48
CFL1,TAGLN,0.691
CFL1,TAGLN2,0.716
CFL1,TAGLN3,0.628
CFL1,TCP1,0.447
CFL1,TESK1,0.611
CFL1,TESK2,0.405
CFL1,TGFB1,0.617
CFL1,TIAM1,0.46
CFL1,TIMP2,0.455
CFL1,TJP1,0.409
CFL1,TLN1,0.687
CFL1,TLN2,0.643
CFL1,TMOD1,0.557
CFL1,TMOD2,0.558
CFL1,TMOD3,0.568
CFL1,TMOD4,0.616
CFL1,TMSB10,0.44
CFL1,TMSB4X,0.737
CFL1,TP53,0.452
CFL1,TPI1,0.755
CFL1,TPM1,0.524
CFL1,TPM2,0.455
CFL1,TPM3,0.75
CFL1,TPM4,0.63
CFL1,TTN,0.412
CFL1,TUBA1A,0.408
CFL1,TUBA1B,0.651
CFL1,TUBA1C,0.464
CFL1,TUBB,0.517
CFL1,TUBB4B,0.414
CFL1,TWF1,0.913
CFL1,TWF2,0.76
CFL1,TXN,0.411
CFL1,TXNDC9,0.572
CFL1,TYK2,0.516
CFL1,UBE2M,0.657
CFL1,UCHL1,0.446
CFL1,UCP1,0.403
CFL1,VASP,0.881
CFL1,VAV1,0.461
CFL1,VCL,0.833
CFL1,VCP,0.405
CFL1,VPS53,0.409
CFL1,WAS,0.888
CFL1,WASF1,0.601
CFL1,WASF2,0.611
CFL1,WASF3,0.432
CFL1,WASL,0.997
CFL1,WDR1,0.994
CFL1,WHAMM,0.571
CFL1,WIPF1,0.845
CFL1,WIPF3,0.467
CFL1,WWP2,0.554
CFL1,XPO6,0.68
CFL1,YWHAB,0.688
CFL1,YWHAE,0.723
CFL1,YWHAG,0.579
CFL1,YWHAQ,0.422
CFL1,YWHAZ,0.888
CFL1,ZBTB33,0.459
CFL1,ZYX,0.522
CFL2,CFTR,0.463
CFL2,CLCN5,0.809
CFL2,CMIP,0.422
CFL2,CORO1A,0.842
CFL2,CORO1B,0.641
CFL2,CORO1C,0.507
CFL2,CORO2A,0.484
CFL2,CORO6,0.522
CFL2,CORO7-PAM16,0.84
CFL2,COTL1,0.424
CFL2,CREB1,0.419
CFL2,CSRP3,0.422
CFL2,CTNNB1,0.461
CFL2,CTTN,0.996
CFL2,CYCS,0.459
CFL2,DAAM1,0.401
CFL2,DBN1,0.723
CFL2,DBNL,0.499
CFL2,DIAPH1,0.591
CFL2,DIAPH3,0.584
CFL2,DLG4,0.559
CFL2,DNM2,0.468
CFL2,DPYSL2,0.417
CFL2,DSTN,0.921
CFL2,ECT2,0.469
CFL2,EGF,0.507
CFL2,EGFR,0.432
CFL2,EIF5A,0.403
CFL2,EPS8,0.407
CFL2,EZR,0.631
CFL2,FGG,0.441
CFL2,FLNA,0.888
CFL2,FLNB,0.821
CFL2,FLNC,0.841
CFL2,FMN1,0.401
CFL2,FMN2,0.52
CFL2,FMNL1,0.453
CFL2,FMR1,0.421
CFL2,FN1,0.49
CFL2,FNBP1L,0.523
CFL2,FSCN1,0.758
CFL2,FXR2,0.509
CFL2,FYN,0.445
CFL2,GANAB,0.457
CFL2,GAPDH,0.596
CFL2,GC,0.479
CFL2,GMFB,0.468
CFL2,GMFG,0.534
CFL2,GRB2,0.661
CFL2,GRIA1,0.488
CFL2,GSK3B,0.446
CFL2,GSN,0.864
CFL2,HCLS1,0.995
CFL2,HSD17B12,0.417
CFL2,HSP90AA1,0.633
CFL2,HSP90AB1,0.637
CFL2,HSPA9,0.537
CFL2,HSPB1,0.557
CFL2,HSPB2,0.524
CFL2,HSPB3,0.528
CFL2,HTT,0.545
CFL2,ICAM1,0.519
CFL2,ILK,0.476
CFL2,INF2,0.414
CFL2,IPO9,0.739
CFL2,IQGAP1,0.601
CFL2,ITIH4,0.601
CFL2,JAK1,0.496
CFL2,JAK2,0.526
CFL2,KALRN,0.408
CFL2,KBTBD13,0.821
CFL2,KIF23,0.584
CFL2,KLHL40,0.583
CFL2,KLHL41,0.516
CFL2,LCP1,0.553
CFL2,LIMK1,0.998
CFL2,LIMK2,0.99
CFL2,LMOD1,0.429
CFL2,LMOD2,0.431
CFL2,LMOD3,0.615
CFL2,MAPK1,0.566
CFL2,MAPK3,0.496
CFL2,MAPK7,0.539
CFL2,MICAL1,0.438
CFL2,MMP14,0.654
CFL2,MMP2,0.53
CFL2,MMP9,0.574
CFL2,MSN,0.646
CFL2,MYC,0.614
CFL2,MYH9,0.461
CFL2,MYL12B,0.49
CFL2,MYL2,0.546
CFL2,MYL9,0.48
CFL2,MYLK3,0.458
CFL2,MYO1C,0.433
CFL2,NCK1,0.828
CFL2,NEB,0.713
CFL2,NEDD9,0.455
CFL2,NEXN,0.485
CFL2,NTRK2,0.416
CFL2,PAK1,0.568
CFL2,PAK2,0.406
CFL2,PAK4,0.755
CFL2,PAK6,0.432
CFL2,PDXP,0.899
CFL2,PFN1,0.967
CFL2,PFN2,0.573
CFL2,PFN3,0.959
CFL2,PFN4,0.966
CFL2,PHACTR1,0.511
CFL2,PLEK,0.424
CFL2,PLEK2,0.433
CFL2,PLS3,0.523
CFL2,POT1,0.498
CFL2,POTEE,0.401
CFL2,POTEF,0.466
CFL2,PPP1CB,0.592
CFL2,PPP1R12A,0.556
CFL2,PRKACA,0.463
CFL2,PRKACB,0.461
CFL2,PRKACG,0.457
CFL2,PRKCA,0.568
CFL2,PRKD1,0.444
CFL2,PRKD3,0.422
CFL2,PRNP,0.609
CFL2,PTEN,0.433
CFL2,PTK2,0.567
CFL2,PTK2B,0.437
CFL2,PXDN,0.478
CFL2,PXDNL,0.471
CFL2,PXN,0.788
CFL2,RAB11A,0.432
CFL2,RABIF,0.508
CFL2,RAC1,0.507
CFL2,RAC2,0.533
CFL2,RACGAP1,0.48
CFL2,RASA1,0.413
CFL2,RDX,0.649
CFL2,RHOA,0.907
CFL2,RHOB,0.712
CFL2,RHOC,0.788
CFL2,RHOG,0.478
CFL2,RHOQ,0.432
CFL2,RND1,0.59
CFL2,RND3,0.765
CFL2,ROCK1,0.802
CFL2,ROCK2,0.775
CFL2,RPS20,0.426
CFL2,SCIN,0.846
CFL2,SCRIB,0.563
CFL2,SEMA3A,0.525
CFL2,SEPTIN7,0.541
CFL2,SEPTIN9,0.403
CFL2,SH3PXD2A,0.832
CFL2,SH3PXD2B,0.576
CFL2,SLC9A1,0.442
CFL2,SRC,0.787
CFL2,SRF,0.494
CFL2,SSH1,0.995
CFL2,SSH2,0.987
CFL2,SSH3,0.989
CFL2,STARD13,0.498
CFL2,STMN1,0.425
CFL2,SYNPO,0.474
CFL2,TAGLN,0.426
CFL2,TAGLN2,0.458
CFL2,TAGLN3,0.427
CFL2,TCAP,0.495
CFL2,TESK1,0.564
CFL2,TESK2,0.41
CFL2,TIAM1,0.539
CFL2,TIMP2,0.439
CFL2,TJP1,0.411
CFL2,TLN1,0.643
CFL2,TLN2,0.644
CFL2,TMOD1,0.561
CFL2,TMOD2,0.559
CFL2,TMOD3,0.573
CFL2,TMOD4,0.626
CFL2,TMSB4X,0.493
CFL2,TNNT1,0.685
CFL2,TP53,0.412
CFL2,TPI1,0.611
CFL2,TPM1,0.567
CFL2,TPM2,0.635
CFL2,TPM3,0.716
CFL2,TPM4,0.581
CFL2,TTN,0.483
CFL2,TUBA1C,0.53
CFL2,TUBB2A,0.529
CFL2,TUBB3,0.525
CFL2,TUBB4A,0.468
CFL2,TWF1,0.831
CFL2,TWF2,0.745
CFL2,TXNDC9,0.581
CFL2,TYK2,0.463
CFL2,VASP,0.873
CFL2,VCL,0.83
CFL2,WAS,0.883
CFL2,WASF1,0.612
CFL2,WASF2,0.608
CFL2,WASF3,0.469
CFL2,WASL,0.997
CFL2,WBP2,0.52
CFL2,WDR1,0.993
CFL2,WHAMM,0.583
CFL2,WIPF1,0.842
CFL2,WIPF3,0.471
CFL2,XPO6,0.676
CFL2,YWHAB,0.504
CFL2,YWHAE,0.564
CFL2,YWHAZ,0.711
CFL2,ZBTB18,0.532
CFL2,ZYX,0.449
CFLAR,CHUK,0.694
CFLAR,CRADD,0.619
CFLAR,CTNNB1,0.402
CFLAR,CYCS,0.7
CFLAR,CYLD,0.618
CFLAR,DAXX,0.473
CFLAR,DEDD,0.644
CFLAR,DEDD2,0.789
CFLAR,DFFA,0.426
CFLAR,DFFB,0.524
CFLAR,DIABLO,0.698
CFLAR,DIABLO-2,0.701
CFLAR,EGFR,0.493
CFLAR,EIF2AK2,0.409
CFLAR,ELAVL1,0.49
CFLAR,ERBB3,0.438
CFLAR,FADD,0.999
CFLAR,FAF1,0.904
CFLAR,FAM107B,0.586
CFLAR,FAS,0.997
CFLAR,FASLG,0.963
CFLAR,FCMR,0.556
CFLAR,FIGNL1,0.509
CFLAR,FLCN,0.477
CFLAR,FLII,0.484
CFLAR,GABARAP,0.47
CFLAR,GAPDH,0.511
CFLAR,GCLM,0.476
CFLAR,HIF1A,0.418
CFLAR,HIF3A,0.455
CFLAR,HSP90AA1,0.565
CFLAR,HSP90AB1,0.463
CFLAR,HSPB1,0.462
CFLAR,HSPB2,0.461
CFLAR,HSPB3,0.474
CFLAR,ICAM1,0.407
CFLAR,IFNG,0.479
CFLAR,IKBKB,0.725
CFLAR,IKBKE,0.429
CFLAR,IKBKG,0.701
CFLAR,IL10,0.422
CFLAR,IL1A,0.414
CFLAR,IL1B,0.543
CFLAR,IL6,0.502
CFLAR,INS,0.509
CFLAR,IRF1,0.434
CFLAR,IRF4,0.523
CFLAR,ITCH,0.992
CFLAR,JUN,0.538
CFLAR,LILRB3,0.547
CFLAR,MAP2K1,0.523
CFLAR,MAP2K4,0.45
CFLAR,MAP2K7,0.704
CFLAR,MAP3K5,0.651
CFLAR,MAPK3,0.423
CFLAR,MAPK8,0.605
CFLAR,MCL1,0.791
CFLAR,MDM2,0.456
CFLAR,MIB2,0.867
CFLAR,MLKL,0.801
CFLAR,MMP9,0.428
CFLAR,MTMR3,0.403
CFLAR,MYC,0.64
CFLAR,NAIP,0.473
CFLAR,NFKB1,0.638
CFLAR,NFKB2,0.485
CFLAR,NFKBIA,0.664
CFLAR,NOD1,0.461
CFLAR,NOL3,0.411
CFLAR,PARP1,0.627
CFLAR,PCSK1,0.479
CFLAR,PEA15,0.436
CFLAR,PIP4K2B,0.429
CFLAR,PLIN5,0.665
CFLAR,PMAIP1,0.597
CFLAR,PTEN,0.429
CFLAR,PTGS2,0.56
CFLAR,PXDN,0.423
CFLAR,PXDNL,0.423
CFLAR,RAF1,0.645
CFLAR,RBCK1,0.671
CFLAR,REL,0.511
CFLAR,RELA,0.649
CFLAR,RELB,0.469
CFLAR,RFK,0.405
CFLAR,RIPK1,0.999
CFLAR,RIPK2,0.799
CFLAR,RIPK3,0.992
CFLAR,RNF31,0.778
CFLAR,RPS27A,0.521
CFLAR,RTL10,0.472
CFLAR,SHARPIN,0.663
CFLAR,SOD2,0.685
CFLAR,SRC,0.402
CFLAR,STAT1,0.409
CFLAR,STAT3,0.616
CFLAR,STUB1,0.466
CFLAR,TAB2,0.415
CFLAR,TICAM1,0.939
CFLAR,TLR3,0.409
CFLAR,TLR4,0.628
CFLAR,TNF,0.798
CFLAR,TNFAIP3,0.463
CFLAR,TNFAIP8,0.637
CFLAR,TNFRSF10A,0.99
CFLAR,TNFRSF10B,0.991
CFLAR,TNFRSF10C,0.748
CFLAR,TNFRSF10D,0.715
CFLAR,TNFRSF1A,0.852
CFLAR,TNFRSF1B,0.455
CFLAR,TNFRSF25,0.438
CFLAR,TNFSF10,0.977
CFLAR,TP53,0.816
CFLAR,TRADD,0.999
CFLAR,TRAF1,0.961
CFLAR,TRAF2,0.943
CFLAR,TRAF3,0.546
CFLAR,TRAF5,0.651
CFLAR,UBA52,0.504
CFLAR,UBB,0.535
CFLAR,UBC,0.537
CFLAR,UBE2D1,0.537
CFLAR,UBE2L3,0.503
CFLAR,UPF1,0.469
CFLAR,USP8,0.606
CFLAR,XIAP,0.917
CFLAR,XRCC6,0.714
CFP,CLU,0.717
CFP,COLEC11,0.548
CFP,COMP,0.748
CFP,CR1,0.655
CFP,CRP,0.559
CFP,CSF3R,0.445
CFP,CTSG,0.668
CFP,DNPH1,0.409
CFP,EFEMP2,0.582
CFP,ELANE,0.469
CFP,F12,0.496
CFP,F9,0.521
CFP,FBLN1,0.677
CFP,FBLN5,0.473
CFP,FCER1G,0.404
CFP,FCN1,0.809
CFP,FCN2,0.698
CFP,FCN3,0.64
CFP,FKBP6,0.591
CFP,FPR1,0.403
CFP,HABP2,0.418
CFP,HCK,0.492
CFP,HEPACAM,0.434
CFP,HP,0.427
CFP,IL1B,0.405
CFP,IL21R,0.457
CFP,ITGAM,0.451
CFP,ITGB2,0.415
CFP,KLK4,0.433
CFP,LILRB2,0.455
CFP,LRRC25,0.4
CFP,LST1,0.509
CFP,MAOA,0.448
CFP,MASP1,0.704
CFP,MASP2,0.707
CFP,MBL2,0.78
CFP,MPO,0.718
CFP,MYO1F,0.464
CFP,NCR1,0.974
CFP,NCR2,0.505
CFP,NLRP3,0.421
CFP,OTC,0.571
CFP,P2RY13,0.411
CFP,PLG,0.431
CFP,POFUT2,0.529
CFP,PRTN3,0.695
CFP,PTX3,0.577
CFP,RAPGEF1,0.511
CFP,RXFP2,0.594
CFP,S100A12,0.42
CFP,SERPING1,0.774
CFP,SPAG8,0.591
CFP,STK36,0.474
CFP,SYN1,0.529
CFP,SYNCRIP,0.444
CFP,THBD,0.431
CFP,THBS3,0.482
CFP,TIMP1,0.49
CFP,TLR2,0.46
CFP,TLR8,0.518
CFP,TNF,0.424
CFP,TSR1,0.478
CFP,TSR2,0.457
CFP,TSR3,0.659
CFP,TYROBP,0.496
CFP,VSIG4,0.532
CFP,VTN,0.522
CFTR,CHEK2,0.545
CFTR,CHMP2A,0.411
CFTR,CHMP2B,0.463
CFTR,CHMP3,0.4
CFTR,CHMP4A,0.4
CFTR,CHMP4B,0.596
CFTR,CHMP4C,0.401
CFTR,CHMP6,0.4
CFTR,CHMP7,0.4
CFTR,CISD1,0.489
CFTR,CISD3,0.424
CFTR,CLCA1,0.838
CFTR,CLCA2,0.829
CFTR,CLCA4,0.747
CFTR,CLCN1,0.598
CFTR,CLCN2,0.469
CFTR,CLCN3,0.697
CFTR,CLCN4,0.403
CFTR,CLCN5,0.544
CFTR,CLCN7,0.526
CFTR,CLDN2,0.453
CFTR,CLDN3,0.476
CFTR,CLIC6,0.497
CFTR,COMMD1,0.616
CFTR,CPA1,0.557
CFTR,CTNNB1,0.581
CFTR,CTRC,0.774
CFTR,CTTNBP2,0.597
CFTR,CXCL8,0.536
CFTR,DAB2,0.742
CFTR,DCLK1,0.511
CFTR,DERL1,0.917
CFTR,DERL2,0.617
CFTR,DERL3,0.57
CFTR,DLG4,0.594
CFTR,DMD,0.44
CFTR,DNAH11,0.556
CFTR,DNAJA1,0.849
CFTR,DNAJB1,0.825
CFTR,DNAJB12,0.416
CFTR,DNAJC5,0.654
CFTR,DYNC1H1,0.531
CFTR,DYNC1I1,0.511
CFTR,DYNC1I2,0.511
CFTR,DYNC1LI1,0.508
CFTR,DYNC1LI2,0.516
CFTR,DYNLL1,0.516
CFTR,DYNLL2,0.513
CFTR,EEA1,0.471
CFTR,EFEMP1,0.43
CFTR,EGFR,0.408
CFTR,EIF3F,0.437
CFTR,EIF4A1,0.417
CFTR,EIF4A3,0.453
CFTR,EIF4G1,0.433
CFTR,ELANE,0.532
CFTR,EMD,0.608
CFTR,ERLEC1,0.621
CFTR,ERLIN1,0.586
CFTR,ERLIN2,0.572
CFTR,EZR,0.898
CFTR,FBXO2,0.456
CFTR,FLNA,0.957
CFTR,FLNB,0.512
CFTR,FLNC,0.52
CFTR,FOXI1,0.421
CFTR,FOXJ1,0.593
CFTR,FOXP2,0.5
CFTR,GAPDH,0.455
CFTR,GFAP,0.561
CFTR,GOLPH3,0.402
CFTR,GOPC,0.992
CFTR,GORASP2,0.721
CFTR,GRM1,0.42
CFTR,GUCA2A,0.805
CFTR,GUCA2B,0.769
CFTR,GUCY2C,0.825
CFTR,HAVCR2,0.45
CFTR,HBB,0.66
CFTR,HDAC6,0.848
CFTR,HGS,0.416
CFTR,HSF1,0.549
CFTR,HSP90AA1,0.986
CFTR,HSP90AB1,0.964
CFTR,HSPA1B,0.495
CFTR,HSPA4,0.925
CFTR,HSPA5,0.559
CFTR,HSPA8,0.986
CFTR,HSPB1,0.78
CFTR,HSPB2,0.626
CFTR,HSPB3,0.502
CFTR,HSPBP1,0.552
CFTR,HTT,0.54
CFTR,HYAL4,0.574
CFTR,IFNG,0.4
CFTR,IFRD1,0.418
CFTR,IFT88,0.479
CFTR,IGF2R,0.432
CFTR,IL10,0.47
CFTR,IL13,0.401
CFTR,IL1B,0.514
CFTR,IL6,0.481
CFTR,IL7R,0.436
CFTR,INS,0.529
CFTR,ITGB2,0.455
CFTR,ITPR1,0.4
CFTR,ITPR3,0.422
CFTR,ITSN1,0.4
CFTR,KCNE3,0.402
CFTR,KCNH2,0.52
CFTR,KCNIP4,0.515
CFTR,KCNJ1,0.925
CFTR,KCNJ11,0.553
CFTR,KCNJ12,0.408
CFTR,KCNJ15,0.431
CFTR,KCNJ8,0.447
CFTR,KCNK3,0.555
CFTR,KCNN4,0.651
CFTR,KCNQ1,0.479
CFTR,KIAA0319,0.42
CFTR,KRAS,0.425
CFTR,KRT18,0.702
CFTR,KRT19,0.64
